Data As Of,Start Date,End Date,Jurisdiction of Occurrence,Year,Month,All Cause,Natural Cause,Septicemia,Malignant Neoplasms,Diabetes Mellitus,Alzheimer Disease,Influenza and Pneumonia,Chronic Lower Respiratory Diseases,Other Diseases of Respiratory System,"Nephritis, Nephrotic Syndrome and Nephrosis","Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",Diseases of Heart,Cerebrovascular Diseases,Accidents (Unintentional Injuries),Motor Vehicle Accidents,Intentional Self-Harm (Suicide),Assault (Homicide),Drug Overdose,COVID-19 (Multiple Cause of Death),COVID-19 (Underlying Cause of Death),flag_accid,flag_mva,flag_suic,flag_homic,flag_drugod
09/27/2023,08/01/2021,08/31/2021,United States,2021,8,304054,276343,3405,52355,8731,9739,3412,12189,3842,4415,3141,58456,13308,19943,4370,4366,2304,9415,48822,45466,,,,,
09/27/2023,09/01/2021,09/30/2021,United States,2021,9,312516,285697,3544,50314,8689,9968,3534,11809,3801,4538,3151,56766,13211,19278,4303,4232,2272,8994,63444,59213,,,,,
09/27/2023,10/01/2021,10/31/2021,United States,2021,10,300219,273380,3763,52119,8592,9981,3675,12178,3971,4566,3070,58660,13972,19170,4513,4267,2332,8809,42606,38771,,,,,
09/27/2023,11/01/2021,11/30/2021,United States,2021,11,289079,263565,3615,50326,8781,10382,3814,12179,4066,4574,3222,59240,13989,18504,4018,3952,2022,8325,32328,29008,,,,,
09/27/2023,12/01/2021,12/31/2021,United States,2021,12,320037,293776,3834,52506,9493,10849,4679,13665,4273,5145,3736,64871,14875,19149,3955,3898,2136,8626,45623,41417,,,,,
09/27/2023,01/01/2022,01/31/2022,United States,2022,1,370281,343712,4033,53196,11057,12755,4948,14595,4579,5851,3169,71528,16375,19369,3539,4156,2032,9075,84015,72657,,,,,
09/27/2023,02/01/2022,02/28/2022,United States,2022,2,290985,266656,3354,46424,8536,10489,3589,11724,3786,4932,2611,58148,13853,17756,3272,3825,1849,8599,50298,41041,,,,,
09/27/2023,03/01/2022,03/31/2022,United States,2022,3,268873,242796,3567,51026,8606,9542,3504,12236,4018,5090,2683,58847,13957,18955,3679,4125,1968,9317,15627,10993,,,,,
09/27/2023,04/01/2022,04/30/2022,United States,2022,4,246758,222071,3306,48986,7745,8951,3324,11583,3784,4610,2598,55351,13248,17638,3498,4039,2081,8677,6265,3671,,,,,
09/27/2023,05/01/2022,05/31/2022,United States,2022,5,255107,228813,3355,50661,7885,9389,3425,12069,3803,4627,2616,56367,13230,18693,3962,4407,2259,8976,7633,4818,,,,,
09/27/2023,06/01/2022,06/30/2022,United States,2022,6,249000,222477,3292,49225,7705,9040,3160,11413,3694,4497,2636,54452,12698,19254,3991,4290,2235,9017,9539,6238,,,,,
09/27/2023,07/01/2022,07/31/2022,United States,2022,7,261005,233033,3370,51195,7966,9431,3072,11233,3916,4548,2834,56567,13297,20434,4205,4378,2371,9665,13393,8943,,,,,
09/27/2023,08/01/2022,08/31/2022,United States,2022,8,259789,232752,3322,51604,7704,9407,2905,11258,3760,4507,2966,55705,13234,19614,4202,4359,2248,9316,14139,9354,,,,,
09/27/2023,09/01/2022,09/30/2022,United States,2022,9,251639,225460,3360,50314,7623,9139,2967,11086,3764,4512,2767,54011,12964,19217,4260,4123,2078,8956,11125,7051,,,,,
09/27/2023,10/01/2022,10/31/2022,United States,2022,10,265706,239088,3517,52108,8426,10230,3409,12122,4014,4758,3100,57760,13908,19643,4288,4089,2106,9195,9713,6081,,,,,
09/27/2023,11/01/2022,11/30/2022,United States,2022,11,268815,243355,3700,51124,8486,10244,4870,12932,4215,4759,3163,59255,13907,18892,3849,3921,1913,8947,10036,6382,,,,,
09/27/2023,12/01/2022,12/31/2022,United States,2022,12,301278,274202,4173,53402,9651,11539,7990,15298,4810,5326,3536,66795,15055,20387,3805,3962,1925,9620,14383,9752,,,,,
09/27/2023,01/01/2023,01/31/2023,United States,2023,1,289362,263621,4066,52429,8940,10923,5931,14209,4736,5154,3654,63221,14919,18748,3402,4239,2005,8952,14877,10018,,,,,
09/27/2023,02/01/2023,02/28/2023,United States,2023,2,249084,226272,3295,47676,7931,9251,3745,12102,4019,4501,3534,55514,12845,16751,3131,3733,1633,7955,8985,5799,,,,,
09/27/2023,03/01/2023,03/31/2023,United States,2023,3,269173,244420,3764,51845,8431,9764,3838,13113,4470,4917,4311,60043,14026,,,,,,7593,4803,Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag)
09/27/2023,04/01/2023,04/30/2023,United States,2023,4,251959,227960,3452,49542,7810,9113,3558,12402,4152,4492,4674,55753,13311,,,,,,5150,3175,Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag)
09/27/2023,05/01/2023,05/31/2023,United States,2023,5,252046,228009,3314,51152,7694,8950,3396,11864,4162,4583,5633,55325,13370,,,,,,3518,2103,Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag)
09/27/2023,06/01/2023,06/30/2023,United States,2023,6,240140,218250,3219,49871,7201,8593,3145,11221,3836,4378,7087,52393,12587,,,,,,2547,1529,Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag)
09/27/2023,07/01/2023,07/31/2023,United States,2023,7,244278,223825,3253,51236,7312,8657,2860,11022,3857,4190,11272,52133,12662,,,,,,2295,1429,Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag)
09/27/2023,08/01/2023,08/31/2023,United States,2023,8,238615,224239,3146,50947,6908,8911,2741,10528,3867,4188,15189,49733,12764,,,,,,3844,2622,Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag)
09/27/2023,09/01/2023,09/23/2023,United States,2023,9,118127,116426,1605,26780,3332,4993,1488,5657,1976,2186,8012,25048,6505,,,,,,2875,2053,Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag)
